Player,Class,Season,Pos,School,Conf,G,MP,FG,FGA,2P,2PA,3P,3PA,FT,FTA,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Antawn Jamison\antawn-jamison-1,JR,1997-98,F,North Carolina,ACC,37,,316,546,310,531,6,15,184,276,,,389,30,28,30,,,822
Billy Baron\billy-baron-1,SR,2013-14,G,Canisius,MAAC,34,1325,247,532,140,278,107,254,220,249,17,149,166,180,56,1,101,38,821
Jason Conley\jason-conley-2,FR,2001-02,F,Virginia Military Institute,Southern,28,,285,610,206,373,79,237,171,209,,,224,67,82,11,,,820
Ray Allen\ray-allen-1,JR,1995-96,G-F,Connecticut,Big East,35,1098,292,618,177,371,115,247,119,147,,,228,117,60,18,82,46,818
Henry Domercant\henry-domercant-1,JR,2001-02,G,Eastern Illinois,OVC,31,,262,600,158,331,104,269,189,212,,,223,67,36,21,,,817
Isaiah Rider\isaiah-rider-1,SR,1992-93,F,Nevada-Las Vegas,Big West,28,992,282,548,227,411,55,137,195,236,,,250,71,41,18,,,814
James Daniel\james-daniel-1,JR,2015-16,G,Howard,MEAC,30,1115,226,582,146,341,80,241,280,331,22,44,66,84,59,7,123,62,812
Jermaine Taylor\jermaine-taylor-1,SR,2008-09,G,Central Florida,CUSA,31,,291,606,199,361,92,245,138,170,,,161,58,39,24,87,,812
Henry Domercant\henry-domercant-1,SR,2002-03,G,Eastern Illinois,OVC,29,,252,550,168,352,84,198,222,263,,,199,81,40,15,,,810
Gary Neal\gary-neal-1,SR,2006-07,G,Towson,CAA,32,,267,599,174,321,93,278,183,219,,,135,111,46,5,,,810
Erick Green\erick-green-1,SR,2012-13,G,Virginia Tech,ACC,32,1166,261,550,200,393,61,157,218,267,15,112,127,121,42,6,69,44,801
Doug McDermott\doug-mcdermott-1,SO,2011-12,F,Creighton,MVC,35,1117,307,511,253,400,54,111,133,167,84,204,288,37,7,3,79,61,801
Rob McKiver\rob-mckiver-1,SR,2007-08,G,Houston,CUSA,34,,233,588,88,212,145,376,190,215,,,131,99,56,2,86,,801
Charron Fisher\charron-fisher-1,SR,2007-08,F,Niagara,MAAC,29,,256,645,187,428,69,217,219,284,,,275,34,49,18,89,,800
John Best\john-best-1,SR,1992-93,C,Tennessee Tech,OVC,28,,296,535,292,517,4,18,203,271,,,235,72,40,6,,,799
